company_id,ticker,accession_number,form,filing_date,period_start,period_end,fiscal_year,fiscal_period,duration_days,canonical_field,taxonomy,source_tag,value_raw,value_standardized,unit,flow_or_stock,source_priority,source_url,loaded_at,cik,source_unit,reported_fiscal_year,frame,is_latest_restated,source_selection_method,source_selection_note
ebay,EBAY,0001065088-23-000006,10-K,2023-02-23,2020-01-01,2020-12-31,2020,FY,365.0,operating_cash_flow,us-gaap,NetCashProvidedByUsedInOperatingActivities,2419000000.0,2419.0,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508823000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2022,CY2020,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-23-000006,10-K,2023-02-23,2020-01-01,2020-12-31,2020,FY,365.0,operating_income,us-gaap,OperatingIncomeLoss,2636000000.0,2636.0,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508823000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2022,CY2020,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-23-000006,10-K,2023-02-23,2020-01-01,2020-12-31,2020,FY,365.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,8894000000.0,8894.0,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508823000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2022,CY2020,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-22-000006,10-K,2022-02-24,,2020-12-31,2020,FY,,total_assets,us-gaap,Assets,19310000000.0,19310.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508822000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2021,CY2020Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-22-000006,10-K,2022-02-24,,2020-12-31,2020,FY,,total_debt,us-gaap,DebtLongtermAndShorttermCombinedAmount,7746000000.0,7746.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508822000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2021,CY2020Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-23-000006,10-K,2023-02-23,,2020-12-31,2020,FY,,total_equity,us-gaap,StockholdersEquity,3561000000.0,3561.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508823000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2022,CY2020Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-22-000006,10-K,2022-02-24,,2020-12-31,2020,FY,,total_liabilities,us-gaap,Liabilities,15749000000.0,15749.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508822000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2021,CY2020Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-24-000036,10-K,2024-02-28,2021-01-01,2021-12-31,2021,FY,364.0,capital_expenditure,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,444000000.0,444.0,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508824000036/,2026-08-05T12:11:50+00:00,0001065088,USD,2023,CY2021,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-24-000036,10-K,2024-02-28,,2021-12-31,2021,FY,,cash_and_equivalents,us-gaap,CashAndCashEquivalentsAtCarryingValue,1379000000.0,1379.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508824000036/,2026-08-05T12:11:50+00:00,0001065088,USD,2023,CY2021Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-23-000006,10-K,2023-02-23,,2021-12-31,2021,FY,,current_assets,us-gaap,AssetsCurrent,9111000000.0,9111.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508823000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2022,CY2021Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
