company_id,ticker,cik,peer_group,fiscal_year,period_start,period_end,duration_days,canonical_field,taxonomy,source_tag,source_priority,value_raw,value_standardized,unit,form,raw_fy,raw_fp,frame,accession_number,filing_date,loaded_at,source_url
real,REAL,0001573221,marketplace_platform,2021,,2021-12-31,,total_assets,us-gaap,Assets,1,754944000.0,754.944,USD,10-K,2022,FY,CY2021Q4I,0001573221-23-000022,2023-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322123000022/
real,REAL,0001573221,marketplace_platform,2021,,2021-12-31,,total_equity,us-gaap,StockholdersEquity,1,73128000.0,73.128,USD,10-K,2021,FY,,0001573221-22-000041,2022-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322122000041/
real,REAL,0001573221,marketplace_platform,2021,,2021-12-31,,total_equity,us-gaap,StockholdersEquity,1,73128000.0,73.128,USD,10-K,2022,FY,,0001573221-23-000022,2023-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322123000022/
real,REAL,0001573221,marketplace_platform,2021,,2021-12-31,,total_equity,us-gaap,StockholdersEquity,1,73128000.0,73.128,USD,10-K,2023,FY,,0001573221-24-000030,2024-03-01,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322124000030/
real,REAL,0001573221,marketplace_platform,2021,,2021-12-31,,total_equity,us-gaap,StockholdersEquity,1,73128000.0,73.128,USD,10-K,2024,FY,CY2021Q4I,0001573221-25-000013,2025-02-21,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322125000013/
real,REAL,0001573221,marketplace_platform,2022,2022-01-01,2022-12-31,364.0,net_income,us-gaap,NetIncomeLoss,1,-196445000.0,-196.445,USD,10-K,2022,FY,,0001573221-23-000022,2023-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322123000022/
real,REAL,0001573221,marketplace_platform,2022,2022-01-01,2022-12-31,364.0,net_income,us-gaap,ProfitLoss,2,-196445000.0,-196.445,USD,10-K,2022,FY,CY2022,0001573221-23-000022,2023-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322123000022/
real,REAL,0001573221,marketplace_platform,2022,2022-01-01,2022-12-31,364.0,net_income,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,3,-196445000.0,-196.445,USD,10-K,2022,FY,,0001573221-23-000022,2023-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322123000022/
real,REAL,0001573221,marketplace_platform,2022,2022-01-01,2022-12-31,364.0,net_income,us-gaap,NetIncomeLoss,1,-196445000.0,-196.445,USD,10-K,2023,FY,,0001573221-24-000030,2024-03-01,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322124000030/
real,REAL,0001573221,marketplace_platform,2022,2022-01-01,2022-12-31,364.0,net_income,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,3,-196445000.0,-196.445,USD,10-K,2023,FY,,0001573221-24-000030,2024-03-01,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322124000030/
real,REAL,0001573221,marketplace_platform,2022,2022-01-01,2022-12-31,364.0,net_income,us-gaap,NetIncomeLoss,1,-196445000.0,-196.445,USD,10-K,2024,FY,,0001573221-25-000013,2025-02-21,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322125000013/
real,REAL,0001573221,marketplace_platform,2022,2022-01-01,2022-12-31,364.0,net_income,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,3,-196445000.0,-196.445,USD,10-K,2024,FY,CY2022,0001573221-25-000013,2025-02-21,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322125000013/
real,REAL,0001573221,marketplace_platform,2022,2022-01-01,2022-12-31,364.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,603493000.0,603.493,USD,10-K,2022,FY,,0001573221-23-000022,2023-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322123000022/
real,REAL,0001573221,marketplace_platform,2022,2022-01-01,2022-12-31,364.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,603493000.0,603.493,USD,10-K,2023,FY,,0001573221-24-000030,2024-03-01,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322124000030/
real,REAL,0001573221,marketplace_platform,2022,2022-01-01,2022-12-31,364.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,603493000.0,603.493,USD,10-K,2024,FY,CY2022,0001573221-25-000013,2025-02-21,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322125000013/
real,REAL,0001573221,marketplace_platform,2022,,2022-12-31,,total_assets,us-gaap,Assets,1,615641000.0,615.641,USD,10-K,2022,FY,,0001573221-23-000022,2023-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322123000022/
real,REAL,0001573221,marketplace_platform,2022,,2022-12-31,,total_assets,us-gaap,Assets,1,615641000.0,615.641,USD,10-K,2023,FY,CY2022Q4I,0001573221-24-000030,2024-03-01,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322124000030/
real,REAL,0001573221,marketplace_platform,2022,,2022-12-31,,total_equity,us-gaap,StockholdersEquity,1,-170092000.0,-170.092,USD,10-K,2022,FY,,0001573221-23-000022,2023-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322123000022/
