conflict_id,company_id,ticker,fiscal_year,canonical_field,winning_accession,winning_filing_date,winning_source_tag,winning_value,discarded_accession,discarded_filing_date,discarded_source_tag,discarded_value,relative_difference,conflict_severity,resolution_rule,resolution_status,review_note,created_at
B1-00070,byon,BYON,2018,total_equity,0001130713-21-000019,2021-02-26,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,210.706,0001130713-20-000014,2020-03-13,StockholdersEquity,131.746,0.3747401592740595,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00071,byon,BYON,2018,total_equity,0001130713-21-000019,2021-02-26,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,210.706,0001130713-20-000014,2020-03-13,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,210.706,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00072,byon,BYON,2018,total_equity,0001130713-21-000019,2021-02-26,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,210.706,0001130713-19-000016,2019-03-18,StockholdersEquity,131.746,0.3747401592740595,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00073,byon,BYON,2018,total_equity,0001130713-21-000019,2021-02-26,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,210.706,0001130713-19-000016,2019-03-18,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,210.706,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00074,byon,BYON,2019,capital_expenditure,0001130713-22-000009,2022-02-25,PaymentsToAcquirePropertyPlantAndEquipment,12.835,0001130713-21-000019,2021-02-26,PaymentsToAcquirePropertyPlantAndEquipment,21.774,0.6964550058433969,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00075,byon,BYON,2019,capital_expenditure,0001130713-22-000009,2022-02-25,PaymentsToAcquirePropertyPlantAndEquipment,12.835,0001130713-20-000014,2020-03-13,PaymentsToAcquireProductiveAssets,21.774,0.6964550058433969,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00076,byon,BYON,2019,net_income,0001130713-22-000009,2022-02-25,NetIncomeLoss,-121.841,0001130713-22-000009,2022-02-25,ProfitLoss,-134.72,0.1057033346738783,high,latest valid filing then configured source-tag priority,resolved_tag_priority,Configured canonical tag priority selects the concept-aligned value,2026-08-05T00:00:00+00:00
B1-00077,byon,BYON,2019,net_income,0001130713-22-000009,2022-02-25,NetIncomeLoss,-121.841,0001130713-22-000009,2022-02-25,NetIncomeLossAvailableToCommonStockholdersBasic,-120.645,0.009816071765661788,medium,latest valid filing then configured source-tag priority,resolved_tag_priority,Configured canonical tag priority selects the concept-aligned value,2026-08-05T00:00:00+00:00
B1-00078,byon,BYON,2019,net_income,0001130713-22-000009,2022-02-25,NetIncomeLoss,-121.841,0001130713-21-000019,2021-02-26,NetIncomeLoss,-121.841,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00079,byon,BYON,2019,net_income,0001130713-22-000009,2022-02-25,NetIncomeLoss,-121.841,0001130713-21-000019,2021-02-26,ProfitLoss,-134.72,0.1057033346738783,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
